A154546000000000,ECON5024_1 - Monetary Pol/Role Cent Banks
A154546000000000,ECON5008_1 - Fin Institutions/Market Dev CS
A123413000000000,ECON4012_1 - Fin. Mkts. & Asset Pricing
A123413000000000,ECON4049_1 - Behavioural Econ: Theory & App
A123413000000000,"ECON4020_1 - Micro Anal: Cons,Pro&Gen Equi"
A123413000000000,ECON4003_1 - Econometrics 1
A60133700000000,ENG1063_1 - Engineering Mathematics 1 Pr1
A60133700000000,ENG1002_1 - Aerospace Engineering 1
A60133700000000,ENG1065_1 - Statics 1
A60133700000000,ENG1033_1 - Materials 1
A60133700000000,ENG1003_1 - Analogue Electronics 1
A210691000000000,POLITIC2001_1 - Politics 2A: Hist of Pol Thght
A210691000000000,HIST2016_1 - History 2A: Soc Cult Hist
A514157000000000,ECON4012_1 - Fin. Mkts. & Asset Pricing
A514157000000000,ECON4072_1 - Economics of Poverty
A514157000000000,ECON4048_1 - History of Economic Thought
A916123000000000,ENG1063_1 - Engineering Mathematics 1 Pr1
A916123000000000,ENG1031_1 - Intro to Biomed Engineering 1
A916123000000000,ENG1065_1 - Statics 1
A916123000000000,ENG1033_1 - Materials 1
A916123000000000,ENG1003_1 - Analogue Electronics 1
A551101000000000,ENG2086_1 - Engineering Mathematics 2
A551101000000000,ENG2081_1 - Mechanics of Structures 2A
A551101000000000,ENG2085_1 - Fluid Mechanics 2
A862716000000000,ENG2086_1 - Engineering Mathematics 2
A862716000000000,ENG2081_1 - Mechanics of Structures 2A
A862716000000000,ENG2085_1 - Fluid Mechanics 2
A862716000000000,ENG2045_1 - Power Electronics 2
A441411000000000,MED2006_1 - MBChB 2 Written Paper 1
A101002000000000,COMPSCI4014_1 - Interactive Systems (H)
A101002000000000,COMPSCI4009_1 - Algorithmics I (H)
A102132000000000,LAW5037_1 - International Competition Law
A102132000000000,LAW5034_1 - IP Law and the Market
A125815000000000,HIST1008_1 - Hist 1A Scotland's Millennium
A40130800000000,MED5029_1 - Introduction to Statistical
A671113000000000,MED2006_1 - MBChB 2 Written Paper 1
A181414000000000,BIOL4051_2 - Genetics 3A_Data Handling
A181414000000000,BIOL4051_1 - Genetics 3A_Essay
A140495000000000,LAW1038_1 - Obligations 1A (FR)
A140495000000000,LAW1036_1 - Criminal Law & Evidence 1 (FR)
A140495000000000,LAW1033_1 - Legal Skills for Graduates
A18114500000000,ENG2086_1 - Engineering Mathematics 2
A18114500000000,ENG2081_1 - Mechanics of Structures 2A
A18114500000000,ENG2085_1 - Fluid Mechanics 2
A18114500000000,ENG2045_1 - Power Electronics 2
A146128000000000,LAW1040_1 - (CL) System & Method for Grads
A115969000000000,COMPSCI4038_1 - Prof Skills & Issues (H)
A951073000000000,ENG3037_1 - Mechanics of Solids 3
A951073000000000,ENG4025_1 - Finite Element Analysis 4
A951073000000000,ENG3053_1 - Thermodynamics of Engines 3
A951073000000000,ENG3039_1 - Dynamics 3
A951073000000000,ENG3036_1 - Simulation of Eng Systems 3
A783145000000000,ENG3059_1 - Aircraft Performance 3
A783145000000000,ENG3042_1 - Propulsion and Turbomach 3
A783145000000000,ENG3081_1 - Aircraft Structures and Mat 3
A783145000000000,ENG3039_1 - Dynamics 3
A783145000000000,ENG3036_1 - Simulation of Eng Systems 3
A141214000000000,STATS1002_1 - Statistics 1Y
A141214000000000,COMPSCI1001_1 - Computing Science 1P Class Tst
A141214000000000,ENG1021_1 - Electronic Engineering 1X
A141214000000000,COMPSCI1006_1 - CS1F _ Computing Fundamentals
A141313000000000,ENG3046_1 - Structural Design 3
A141313000000000,ENG3086_1 - Transport Engineering 3
A141313000000000,ENG3037_1 - Mechanics of Solids 3
A141313000000000,ENG3085_1 - Hydraulic Engineering 3
A115956000000000,ENG3026_1 - Electronic System Design 3
A115956000000000,ENG3043_1 - Real Time Computer Systems 3
A115956000000000,ENG3014_1 - Communication Systems 3
A115956000000000,ENG3025_1 - Electronic Devices 3
A115956000000000,ENG3036_1 - Simulation of Eng Systems 3
A114149000000000,BIOL2040_1 - Cntemprary Issues in Biol 2Y
A114149000000000,BIOL2039_1 - Fundamental Topics in Biol 2X
A132101000000000,PSYCH4036_1 - Social Psychology 3H
A911791000000000,MED5029_1 - Introduction to Statistical
A507399000000000,PHIL1010_1 - Philosophy 1A
A507399000000000,HIST1008_1 - Hist 1A Scotland's Millennium
A523397000000000,PSYCH5033_1 - Social Psychology (PGT Conv)
A523397000000000,PSYCH5067_1 - Human Development PGT Conv
A95151500000000,ACCFIN1004_1 - Financial Accounting 1
A95151500000000,MGT1005_1 - Introduction to Management
A95151500000000,ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis
A111416000000000,COMPSCI5100_1 - Machine Learning & AI for DS
A111416000000000,ENG5027_1 - Digital Signal Processing
A111416000000000,ENG5022_1 - Control M
A211113000000000,ARCH1001_1 - Arch 1A: Arch of Scotland
A211113000000000,PSYCH1001_1 - Psychology 1A
A211113000000000,GEOG1001_1 - Geography 1
A311119000000000,ECON4012_1 - Fin. Mkts. & Asset Pricing
A311119000000000,"ECON4020_1 - Micro Anal: Cons,Pro&Gen Equi"
A311119000000000,ECON4003_1 - Econometrics 1
A239612000000000,LAW2007_1 - Jurisprudence
A239612000000000,LAW2038_1 - Land Law
A239612000000000,LAW2010_1 - Law and Government
A512101000000000,HISTART1002_1 - History of Art 1A
A117714000000000,COMPLIT1001_1 - Comparative Literature 1A
A117714000000000,PSYCH2010_1 - Psychology 2A Paper 1
A117714000000000,THEATRE2001_1 - Thtre St 2:Clsscal To Mdrn
A117714000000000,PSYCH2010_2 - Psychology 2A Paper 2
A151357000000000,THEATRE1001_1 - Theatre Studies 1:  Reading
A197401000000000,CEES1015_1 - CEES 1A
A197401000000000,POLITIC2001_1 - Politics 2A: Hist of Pol Thght
A197401000000000,PUBPOL2010_1 - Social & Public Policy 2A
A213854000000000,PHYS4017_1 - Physics 3: Class Test
A213854000000000,PHYS5012_1 - Problem Solving Workshop
A614121000000000,PSYCH1001_1 - Psychology 1A
A614121000000000,CHEM1001_1 - Chemistry 1
A614121000000000,BIOL1001_1 - Biology 1A
A248381000000000,PUBPOL1010_1 - Social and Public Policy 1A
A172451000000000,PSYCH5033_1 - Social Psychology (PGT Conv)
A172451000000000,EDUC5842_1 - DevPsych(PGT Conv)
A100510000000000,POLITIC4020_1 - Politics of the EU
