PSYCH4080_1 - Analysis of Psychomtrc Data 4H,1.5
BIOL4065_1 - Marine & Freshwater Biology 3A,2
NURSING3030_1 - Human Disease & Pathology,2
NURSING3024_1 - Nursing 3,2
CHEM2017_1 - Chemistry 2Y single Class Test,1
CHEM3028_1 - Phys Chem for Chemical Studies,1
CHEM3027_1 - Org Chem for Chemical Studies,1
CHEM3026_1 - Inorg Chem for Chem Studies,1
MFL1069_1 - German Intnl Mob 3 Sem 1,1
ENG5276_1 - Advanced Manufacture 5,2
MFL1057_1 - Chinese Intnl Mob 1,1
MFL1055_1 - Catalan Intnl Mob 1,1
MED4041_1 - Global Health (intercal),1
BIOL4238_1 - Physiology 3A,1
ENG5294_1 - Finite Element Analysis M,2
ECON5020_1 - Mathematical Finance,2
ACCFIN5045_1 - International Corporate Gov,1.5
COMPLIT2010_1 - Comp Lit 2C,1.5
TRS2021_1 - Religion Culture Controversy,1.5
ECON3023_1 - Contemporary Topics in Econ,1.5
ARCH2004_1 - Arch 2A: 20 Thngs Chgd World,1
LAW5130_1 - International Law&Int Security,2
DUMF3045_1 - Health&Soc Policy Contemp Ctxt,1.5
CELTCIV2001_1 - Celtic Civilisation 2A,1.5
SCOTLIT2001_1 - Scottish Literature 2A,1.5
EDUC1033_1 - Theology in Education 1,2
MFL1009_1 - Italian Intnl Mob 1,1
MED4035_1 - Critical Care Med (intercal),1
GEOG5018_1 - Principles of Carto Design,1.5
EDUC2060_1 - Theology In Education 2,2
LAW5026_1 - Foundations Of Int Law,2
ENG5291_1 - Signal Proc of Biosignatures M,1.5
LAW5039_1 - Adv Intro to Intl Criminal Law,2
PSYCH1010_1 - Intro to Applied Psych,1.5
DUMF1013_1 - Maths _ Theory and Pedagogy 1,1.5
EARTH4072_1 - Igneous Geology,2
EARTH4071_1 - Sedimentary Geology,2
MFL1014_1 - Japanese Intnl Mob 3 Sem 1,1
ACCFIN5219_1 - Corporate Finance & Valuation,1.5
ACCFIN5039_1 - Principes of FE,2
ECON4086_1 - Econ. of Industry 1 (Exchange),1
MFL1066_1 - German Intnl Mob 1,1
PHYS2002_1 - Physics 2 (Half),2
ACCFIN4041_1 - Issues Accountancy Profession,2
MED4045_1 - Psych. Med. (intercal),1
STATS5017_1 - Design of Experiments (Lvl M),2
ACCFIN4029_1 - Corporate Insolvency,1.5
LAW2047_1 - Jurisprudence (FR),2
LAW2050_1 - Property Law (FR),1.5
LAW2049_1 - Law and Government (FR),2
MED4037_1 - Cancer Studies (intercal),1
MED4049_1 - Women&Child Health (intercal),1
LAW4151_1 - Legal History (Sem 1),1.5
MFL1053_1 - Arabic Intnl Mob 3 Sem 1,1
DUMF1064_1 - Philosophy 1,1.5
LAW3030_1 - Princ of Healthcare Law S1Only,1
LATIN4003_1 - Basic Latin for Honours 1,2
LAW3034_1 - Anti_Discrimination Law S1Only,1
DUMF3033_1 - Rural Tourism & Stewardship,1.5
LAW4139_1 - Company Law (Sem 1 Only),2
LAW4146_1 - Wrongful Conviction Sem 1 Only,1
MGT5350_1 - Operational & Strategic HRM,1.5
INFOST2003_1 - Dig Media&Info Studs 2A_Online,1.5
MED4057_1 - Otolaryngology (ENT) Intercal,1
ENG4088_1 - Laser & Electro_Optic Systs 4,2
BIOL4230_1 - Anatomy 3A,1
VETSCI4024_1 - Vet Public Health & Epi 4,1.5
VETSCI4023_1 - Animal Welfare & Conservation4,1
LATIN2001_1 - Latin 2A: Intermed Latin 1,2
MED4047_1 - Sports Medicine (intercal),1
MED4038_1 - Cardiovascular (intercal),1
LAW4140_1 - Issues in Healthcare Law S1,1
ECON5085_1 - Advanced Math for Economics,1.5
ECON4093_1 - International Trade (Exchange),1.5
GEOG2016_1 - Geography 2 (Half Course),2
ASTRO1002_1 - Astronomy 1 (Half),1
DUMF1043_1 - Earth System Science,1
LATIN4001_1 - Intermed Latin for Honours 1,2
LAW4137_1 - Competition Law (Sem1 Only),1
MED4036_1 - Clin Neuroscience (intercal),1
ECON5095_1 - Topics in Micro Theory 1,1.5
PHYS4047_1 - Energy & Environment Dec Exam,1.5
STATS5102_1 - Spatial Statistics (Level M) _,2
BIOL3027_1 - Human Life Sciences 3A,1
GREEK5003_1 - Basic Greek for Postgrads 1,2
LATIN5003_1 - Basic Latin for Postgrads 1,2
GREEK4003_1 - Basic Greek for Honours 1,2
GEOG1007_1 - Geography 1 (Half Course),1.5
DUMF3082_1 - Leading Change,1.5
PHYS5063_1 - Nuclear Reactors (Dec Exam),1.5
BIOL3005_2 - Biomlcular Sci3A_Data Handling,2
BIOL3005_1 - Biomolecular Sci 3A_Essay,3
LAW4143_1 - Human Reproduction &the Law S1,1
CHEM2007_1 - Organic Chem for Visit Studs 1,2
PHYS5051_1 - Groups & Symmetries Dec Exam,1.5
GREEK4001_1 - Advanced Greek for Honours 1,2
GREEK2001_1 - Greek 2A,2
PSYCH3008_1 - Social Psychology_ Psy Studies,1.5
PSYCH3006_1 - Human Development_PsyStud,1.5
LATIN5001_1 - Intermediate Latin For PGT 1,2
